word, value
disorientasi,-2
stimulasi,1
distorsi,-2
suka,2
tahan,-2
takdir,-2
takut,-2
tangguh,-1
tangkap,-3
tebus,2
tekan,-2
tentu,2
terima,1
teror,-3
tinggal,-2
tingkat,2
tipu,-3
tolak,-1
tunda,-1
tunggu,-1
tuntut,-2
tusuk,-2
untung,2
usir,-2
divalidasi,1
yakin,1
dorong,2
dukung,2
efektif,2
egois,-3
eksklusif,2
eksploitasi,-2
eksplorasi,1
elegan,2
empati,2
enak,3
energik,2
enggan,-2
erang,-2
etis,2
euforia,4
fanatik,-2
fantastis,4
fasis,-2
favorit,2
flu,-2
fobia,-2
fokus,2
frustrasi,-2
fud,-3
funky,2
gagah,3
gagal,-2
ganas,-2
ganggu,-2
ganjil,-2
garis miring,-2
gatal,-2
geli,3
gelisah,-1
gembira,3
gemetar,-2
giat,1
gila,-3
glamor,3
gondong,-2
goyah,-2
gratis,1
gugat,-2
gugup,-2
guncang,-2
ha,2
habis,-2
hadiah,2
haha,3
hahaha,3
hambar,-2
hambat,-2
hancur,-3
hancur,-1
hangat,1
hantu,-1
harap,2
harta karun,2
hasut,-2
hati,2
hebat,4
heroik,3
hibah,1
hibur,3
hidup,2
hilang,-2
hindar,-1
histeria,-3
histeris,-3
homo,-3
hooligan,-2
hooliganisme,-2
hore,5
huh,-2
hujan,-1
hukum,3
hukum,-2
humor,2
hutang,-2
ilegal,-3
ilmu semu,-3
iman,1
imbal,2
impoten,-2
indah,3
informasi yang salah,-2
ingin,1
inkuisisi,-2
inovasi,1
inovatif,2
inspirasi,2
inspiratif,2
integritas,2
intens,1
interupsi,-2
intimidasi,-2
intrik,1
iri,-2
ironi,-1
ironis,-1
iseng,-2
istimewa,2
izin,1
jahat,-3
jalang,-5
jamin,1
janda,-1
janji,1
jatuh,-2
jatuh,-1
jebak,-1
jelas,1
jelek,-3
jengkel,2
jepit,-2
jijik,-3
jujur,2
kabut asap,-2
kacau,-3
kaget,-2
kagum,2
kalah,-3
kalah manuver,-2
kalimat,-2
kambing hitam,-2
kanker,-1
kapak,-1
karya agung,4
kasar,-3
kasih sayang,3
kata kasar,-3
kaya,2
adil,2
ajaib,3
aman,1
bahagia,3
baik,3
kebal,2
bebas,2
berani,3
untung,3
betul,-2
bocor,-1
bugar,1
buntu,-2
kecam,-2
celaka,-2
cemas,-2
cerah,1
kecewa,-2
kecuali,-1
dua,3
egois,-3
gagal,-3
gelap,-1
gelisah,-2
gembira,3
gila,-2
guna,2
hancur,-3
hangat,2
hormat,2
indah,3
ingin,2
jahat,-3
kejam,-3
jelas,2
keji,-3
kejut,-2
kacau,-2
kekanak-kanakan,-2
kaya,3
kebal tubuh,1
kecewa,-2
kejam,-3
keras,-3
kesal,-2
kosong,-1
kuat,2
kurang,-2
lamban,-2
lapar,-2
lebih,2
lebih beban,-1
lebih berat badan,-1
lelah,-2
lemah,-2
lesu,-2
maju,2
mampu,2
marah,-2
mati,-3
mau,2
menang,4
miskin,-1
mudah,2
mulia,2
nakal,-1
kencing,-4
nyaman,2
keparat,-4
penting,1
percaya,1
percaya diri,2
puas,2
keputusasaan,-2
racun,-2
ragu,-1
keras,-2
keras kepala,-2
keren,1
rentan,-2
rindu,1
rugi,-3
rusa,-3
rusuh,-2
kesal,-3
salah,-2
kesalahpahaman,-2
sedih,-3
sempat,2
senang,3
sengsara,-2
sepi,-2
serakah,-3
setia,3
suka,2
sukses,2
sulit,-2
suram,-1
susah,-2
takut,-3
ketat,3
tegang,-1
tenar,1
asing,-2
ketidakadilan,-2
ketidakbergunaan,-2
ketidakberuntungan,-2
ketidakmampuan,-2
ketidaknyamanan,-2
ketidakpedulian,-2
ketidakpekaan,-2
ketidakpercayaan,-3
ketidaktahuan,-2
tinggal,-1
tulus,2
unggul,3
untung,2
khawatir,-3
khusyuk,-1
kios,-2
kipas angin,3
komedi,1
komitmen,2
kompeten,2
kompetitif,2
komprehensif,2
konflik,-2
konspirasi,-3
kontol,-4
kontroversial,-2
konyol,-1
korban,-2
korban jiwa,-3
kosong,-1
kotor,-2
kotor,-2
kram,-1
kreatif,2
kriminal,-3
krisis,-3
kritik,-2
kritikus,-2
kuat,2
kubur,-2
kutu,-1
lalu,2
lamban,-2
landmark,2
lanjut,1
larang,-2
layak,2
lebih baik,2
lebih besar,3
lebih buruk,-3
lebih gila,-2
lebih keras,2
lebih kotor,-2
lebih kuat,2
lebih licin,2
lebih lucu,4
lebih miskin,-2
lebih pintar,2
lebih ramah,2
lebih rendah,-2
lega,2
lelah,-2
lelucon,2
lemah,-2
lembut,2
lesu,-2
licik,-1
licin,2
limbah,-1
lincah,2
litigasi,-1
lmfao,4
lobi,-2
lolos,-1
longgar,-3
luar biasa,5
lucu,4
lunak,1
lupa,-1
lupa,-1
luring,-1
lurus,1
maaf,2
maaf,1
mabuk,-2
macet,-2
mahal,-2
main,2
malang,-2
malapetaka,-2
malas,-1
malu,-2
malu,-2
mampu,1
manfaat,2
manipulasi,-1
manis,2
marah,-3
masalah,-2
mati,-3
mati rasa,-1
mayat,-1
medali,3
meditasi,1
laku,1
langgar,-2
melankolis,-2
lari diri,-1
lebih,-2
lega,2
lelah,-2
lemah,-2
lenyap,-2
meleset,-2
lindung,1
maaf,2
pada,1
paksa,-1
paksa,-1
palsu,-3
malu,-3
manipulasi,-1
panjang,1
parah,-2
pasti,1
bahaya,-2
baik,2
banting,-2
bantu,2
batal,-1
batas,-2
batu,-2
beban,-2
bebas,2
benar,2
beri manfaat,2
kati,2
bersih,1
bingung,-2
boikot,-2
bosan,-3
buang,-1
buang,-2
buat frustrasi,-2
buat marah,-2
bungkam,-1
bunuh,-3
buruk,-3
butuh,-2
pecah,1
pekak telinga,-1
penuh,2
fitnah,-2
mikat,3
milu,-3
minta maaf,-1
monopoli,-2
motivasi,2
budak,-2
buruk,-2
cantik,3
daya,-2
ingat,-2
kuat,2
luas,1
oleh,2
panjang,1
tanya,-1
pesona,3
prihatin,-2
promosi,1
protes,-2
provokasi,-1
puja,3
puji,3
pulih,1
memvalidasi,1
tahan,-2
takjub,5
takut,-3
menang,4
tangguh,-1
menang,-2
tantang,-1
tarik,3
tawan,3
capai,2
cegah,-1
cela,-2
cari,-2
cemooh,-2
cengang,3
cerah,2
curi,-2
curiga,-2
damai,2
derita,-3
desak,-1
distorsi,-2
dorong,2
dukung,2
mendung,-1
tegur,-2
tekan,-2
tembak,-2
tenang,3
tentu,1
terima,1
teror,-3
abai,-2
acau,-2
adopsi,1
kagum,3
aku,-1
alih perhati,-2
aman,2
ancam,-2
aniaya,-2
kapur,-3
kecewa,-2
ejek,-2
kejut,-2
ekspos,-1
keluh,-2
kembang,1
erang,-2
keri,-3
kerut kening,-1
kesan,3
gagal,-2
gairah,3
ganggu,-3
gemas,3
menggembar-gemborkan,-2
gembira,3
gugat,-2
hambat,-2
hancur,-3
hantu,-1
harga,2
heran,2
hibur,3
hidup kembali,2
hilang,-1
hina,-2
hindar,-2
hormat,2
hukum,-2
indoktrinasi,-2
inspirasi,3
intai,-1
intimidasi,-2
khawatir,-2
khianat,-3
kritik,-2
olok,-2
uang,-2
kuat,2
undang,1
undur diri,-1
usir,-2
kutuk,-2
nikmat,2
tindas,-2
tinggal,-3
tinggal,-2
tingkat,1
tingkat,2
tipu,-3
tipu diri sendiri,-2
jadi korban,-3
jelas,2
jengkel,-2
jijik,-3
jual lebih,-2
julang,-1
tolak,-2
nonaktif,-1
tonjol,2
tuduh,-2
tular,-1
tunda,-1
tunggu,-1
tuntut,-1
turun,-2
tutup,-3
salah,-2
samar,-1
sambut,2
sangkal,-2
sapa,1
sebal,-3
sedih,-3
sela,-2
selamat,2
selesai,2
senang,4
serang,-1
seret,-1
sesal,-2
sesat,-3
tuju,2
siksa,-4
singgung,-2
susah,-2
radang,-2
ragu,-2
rajuk,-2
rampok,-2
rangsang,2
raya,3
rayu,3
rekomendasi,2
remeh,-1
remuk,-1
renung,-2
riah,4
ringan,1
rugi,-2
rusak,-2
mesin cuci hijau,-3
metodis,2
yakin,2
mimpi,1
minta maaf,-1
miskin,-2
mitos,-1
mogok,-1
motivasi,1
muak,-3
mudah,1
mudah tipu,-2
muka sial,-4
mulia,2
munafik,-2
mundur,-1
murah hati,2
murka,-3
murung,-2
musuh,-2
n00b,-2
naif,-2
naik kapal,1
negatif,-2
negro,-5
ngeri,-3
niggaz,-5
nikmat,2
nikmat,2
noda,-2
noob,-2
nyaman,2
oke,2
oksimoron,-1
omong kosong,-2
ompong,-2
optimis,2
optimisme,2
orang gila,-3
otoritas,1
padam,-1
padat,2
pahit,-2
pahlawan,2
paling gelap,-2
paling gila,-2
paling keras,-2
paling kotor,-2
paling licin,2
paling pintar,2
paling terang,2
palsu,-3
panik,-1
pantat,-4
paradoks,-1
parah,-2
parodi,-2
pasif,-1
patah hati,-3
payah,-3
payudara,-2
cundang,-3
dagang asong,-2
peduli,2
lacur,-5
laku,-2
langgar,-3
lari,-3
pelit,-2
peluang,2
peluk,2
lupa,-2
maaf,1
makam,-1
malu,-1
batas,-2
bebas,2
bela,2
benci,-3
berani,2
beri,1
ronta,-2
bersih,2
blokir,-1
bohong,-3
bunuh,-3
bunuh,-3
menang,4
perkosa,-4
perkosa,-4
picu stres,-2
mogok,-2
potong,-2
pukul,-1
tahan,-2
takut,-2
penalti,-2
tangkap,-2
tari,-3
penasaran,1
catut,-2
cemar,-2
cuci hijau,-3
cuci hijau,-3
culi,-2
dendam,-2
derita,-3
dukung,1
anggur,-2
angkat,2
kecuali,-1
kecut,-2
ganggu,-2
gusur,-1
halang,-2
harga,3
hasut,-2
hina,-3
kirim spam,-3
khianat,-3
lihat,1
kuat,2
unjuk rasa,-2
tindas,-2
tingkat,1
tipu,-4
jahat,-3
jangkau,2
penjara,-2
jual,-2
jual lebih,-2
penting,2
penting,2
penuh gairah,2
penuh harap,2
penuh kasih,2
tular,-2
tunda,-1
tuntut,-1
sakit,-2
penyalahgunaan,-3
samar,-1
sangkal,-2
sayang,3
sederhana lebih,-2
selamat,4
selamat,2
selesai,2
serbu,-2
sesal,-2
siksa,-4
sita,-2
peperangan,-2
alat,-1
rampok,-2
perang,-2
asa,1
baik,2
budak,-3
percaya diri,2
percik,1
damai,2
pergi,-1
periang,2
ingat,-2
juang,-2
permata,1
minta,-1
minta maaf,-1
musuh,-2
nyata lebih,-2
selisih,-2
tuju,2
tarung,-1
tempur,-1
tumbuh,2
runding,-1
saing,-1
pesimis,-2
pesimisme,-2
pesona,3
tualang,2
tualang,2
pintar,2
pistol,-1
populer,3
posesif,-2
positif,2
potong,-1
proaktif,2
propaganda,-2
prospek,1
protes,-2
puas,2
puas diri,-2
puji,3
punggung,1
pusing,-2
putus asa,-3
putus,-1
rabun dekat,-2
rabun jauh,-2
racun,-2
ragu,-1
ragu,-1
rahmat,1
rajin,2
ramah,3
ramah tamah,2
rasa salah,-3
rasa bosan,-2
rasa ingin tahu,2
rasa jijik,-3
ras,-3
rasisme,-3
reaksi lebih,-2
rentan,-2
representasi yang salah,-2
runtuh,-2
resesi,-2
responsif,2
riang,2
rindu,-2
rindu kampung halaman,-2
ringan,2
ringan hati,1
risiko,-2
riuh,-1
robek,-2
roflcopter,4
roflmao,4
rolf,4
romansa,2
rotflmfao,4
rotflol,4
ruam,-2
rumit,2
runtuh,-2
rusak,-1
sabotase,-2
sah,1
saham,1
sakit,-1
sakit hati,-2
salah,-2
salah informasi,-2
salah lapor,-2
salah baca,-1
salah paham,-2
salam,2
sampah,-1
sangat,-3
sangat gembira,4
santai,2
sapu hijau,-3
saraf,-1
sarkastik,-2
sayang,3
sayang sekali,3
sayang,-1
cara ajaib,3
cara efektif,2
cara hukum,1
cara ketat,3
cara pasif,-1
cara substansial,1
cara tidak sengaja,-2
sederhana,-2
sedih,-3
segar,1
sehat,2
sejahtera,3
sekali umur hidup,3
seksi,3
selamat,3
selamat datang,2
macam,0
semangat,1
sembrono,-2
sembunyi,-1
moga,2
sempurna,3
senang,5
sendiri,-2
sendok,3
sengit,-3
sensor,-2
sepenuh hati,3
seperti,2
serakah,-2
serang,-1
serius,1
setia,3
tuju,1
sial,-4
sial,-4
siap,1
sia,2
sigap,2
signifikan,1
signifikansi,1
simpan,2
simpati,2
simpatik,2
sinar matahari,2
sinis,-2
sinisme,-2
sisi negatif,-2
skandal,-3
skeptis,-2
skeptisisme,-2
solidaritas,2
solusi,1
sombong,-2
sopan,2
sopan santun,2
sorot,2
spam,-2
spekulatif,-2
stabil,2
stereotip,-2
stresor,-2
striker,-2
suap,-3
substansial,1
subversif,-2
suka,2
sukses,3
sulit,-1
sulit tidur,-2
sumpah palsu,-3
sungguh,2
suram,-2
surga,3
surgawi,4
tabah,2
tabrak,-2
tahan,-2
tajam,-3
tak daya,-2
tak guna,-2
tak kenal takut,2
tak henti,2
tak kalah,2
tak tahan,2
tak tanding,1
takjub,2
takut,-2
tanda bahaya,-2
tanpa beban,1
tanpa henti,-1
tanpa jamin,-2
tanpa gembira,-2
tanpa pesona,-3
tanpa pilih,-2
tantang,-1
tarik,-1
tawar,2
tegang,-2
tegas,2
tekan,-1
tembak,-1
tempat buang sampah,-1
tenang,2
tenggelam,-2
tepuk tangan,2
ancam,-2
baik,3
batas,-1
beban,-2
belakang,-2
besar,3
buang,-2
buka,-1
bukti benar,2
bunuh,-3
buruk,-3
capai,2
cekik,-2
cemar,-2
cengang,2
cinta,3
dakwa,-2
degradasi,-2
distorsi,-2
rendah,-1
ganggu,-2
gelincir,-2
gesa,-2
gila,2
goda,-1
henti,-2
hina,-1
hormat,2
teriak,-2
ria,-2
ikat,1
terima kasih,2
infeksi,-2
inspirasi,2
intimidasi,-2
isolasi,-1
jebak,-2
kejut,3
kenal,-2
kes,3
kuat,2
kuras,-2
kutuk,-4
terlalu besar,3
terlalu sederhana,-2
terlalu sederhana,-2
lambat,-2
libat,1
luka,-2
menung,-1
miskin,-2
motivasi,2
terobos,3
obsesi,2
teror,-3
paksa,1
pecah,1
pengaruh,-1
penuh,2
percaya,2
pesona,3
pisah,-1
pojok,-2
potong,-2
provokasi,-1
putus,-2
putus,-2
sangka,-1
sedak,-2
selesai,2
senyum,2
serang,-2
singgung,-2
tahan,-1
tarik,2
tertawa,1
tegun,-2
tekan,-2
tentu,1
tindas,-2
tinggal,-2
tipu,-3
tunda,-1
tiada banding,2
tidak,-1
tidak ada arti,-2
tidak adil,-2
tidak aman,-2
tidak bagus,-2
tidak bahagia,-2
tidak daya,-2
tidak fungsi,-3
tidak guna,-2
tidak harga,-2
tidak semangat,-2
tidak tanggung jawab,2
tidak bisa gerak,-1
tidak bisa cinta,-2
tidak bisa hancur,2
tidak cerdas,-2
tidak dapat terima,-2
tidak dapat ubah,-1
tidak cinta,-2
tidak dukung,-2
tidak harga,-2
tidak hormat,-2
tidak ingin,-2
tidak kredit,-1
tidak tuju,-2
tidak efektif,-2
tidak etis,-2
tidak fokus,-2
tidak hormat,-2
tidak jelas,-2
tidak jujur,-2
tidak kompeten,-2
tidak layak,-2
tidak mampu,-2
tidak manusiawi,-2
tidak pada,-2
tidak pihak,2
tidak erti,-2
tidak senang,-3
tidak nyaman,-2
tidak pasti,-2
tidak peduli,-2
tidak erti,-2
tidak percaya,-3
tidak profesional,-2
tidak puas,-2
tidak rasional,-1
tidak sabar,-2
tidak sadar,-2
tidak sehat,-2
tidak sempurna,-2
tidak senang,-2
tidak sensitif,-2
tidak tara,-1
tidak signifikan,-2
tidak stabil,-2
tidak suka,-2
tidak tahan,-3
tidak kes,-2
tidak motivasi,-2
tidak noda,2
tidak organisir,-2
tidak penuh,-2
tidak yakin,-1
timpang,-2
tipu daya,-2
tipu,-2
toleran,2
tolong,1
total,-2
totalitarianisme,-2
totaliter,-2
tragedi,-2
tragis,-2
trauma,-3
traumatis,-3
tuduh,-2
tuhan,1
tulus,2
tumbu,-2
tumor,-2
tumpu,-1
tunda,-1
tunggu,-1
tuntut,-1
tuntut hukum,-2
tusuk,-5
unggul,2
untung,3
usang,-2
usil,-2
utuh,2
visi,1
visioner,3
vitalitas,3
vitamin,1
wah,4
wajib,-1
waspada,3
was-was,-2
woohoo,3
wooo,4
wow,4
woww,4
ya,2
yakin,1
yesus,1
